,Model,Optimal Means,Offloading Means,Mean Load Difference
1,Random(P = 0.05),37.848200000000006,44.043,6.194799999999994
2,Random(P = 0.1),37.848200000000006,43.77290000000001,5.924700000000001
3,Random(P = 0.2),37.848200000000006,44.0594,6.211199999999991
4,Random(P = 0.3),37.848200000000006,42.601000000000006,4.752800000000001
5,Random(P = 0.5),37.848200000000006,42.809400000000004,4.961199999999998
6,Secretary,37.848200000000006,39.058099999999996,1.2098999999999904
7,House Selling,37.848200000000006,39.024,1.1757999999999953
