,Run,Optimal,Load when Offloading,Load Difference
1,1,40.118,40.23,0.11199999999999477
2,2,39.87,40.032,0.16199999999999903
3,3,39.86,39.86,0.0
4,4,39.554,39.554,0.0
5,5,38.522,38.522,0.0
6,6,39.678,39.742,0.06400000000000006
7,7,39.694,39.918,0.22399999999999665
8,8,39.648,39.95,0.3019999999999996
9,9,39.672,39.882,0.21000000000000085
10,10,39.554,39.812,0.25799999999999557
11,11,39.788,40.132,0.3440000000000012
12,12,40.516,40.516,0.0
13,13,39.394,40.052,0.6580000000000013
14,14,39.34,39.612,0.27199999999999847
15,15,39.112,39.112,0.0
16,16,38.408,38.574,0.16599999999999682
17,17,38.356,38.85,0.4939999999999998
18,18,38.27,38.662,0.3919999999999959
19,19,38.662,38.896,0.23400000000000176
20,20,38.486,38.708,0.2220000000000013
21,21,38.454,38.662,0.2079999999999984
22,22,38.428,38.428,0.0
23,23,38.522,38.522,0.0
24,24,38.404,38.404,0.0
25,25,37.276,37.276,0.0
26,26,38.618,38.84,0.2220000000000013
27,27,38.564,38.56800000000001,0.004000000000011994
28,28,38.838,39.014,0.17600000000000193
29,29,38.744,38.802,0.05799999999999983
30,30,34.766,34.766,0.0
31,31,35.31,35.31,0.0
32,32,35.97400000000001,35.97400000000001,0.0
33,33,35.278,35.278,0.0
34,34,35.93,35.93,0.0
35,35,36.314,36.314,0.0
36,36,35.596,35.596,0.0
37,37,35.61,35.61,0.0
38,38,35.376,35.376,0.0
39,39,36.526,36.526,0.0
40,40,36.596,36.596,0.0
