,Run,Optimal,Load when Offloading,Load Difference
1,1,40.23,40.23,0.0
2,2,40.118,49.554,9.436
3,3,40.032,40.316,0.284000000000006
4,4,39.87,43.522,3.652000000000001
5,5,40.798,40.798,0.0
6,6,39.86,39.86,0.0
7,7,39.554,39.554,0.0
8,8,40.164,40.492,0.32799999999999585
9,9,38.522,38.522,0.0
10,10,40.094,40.488,0.39399999999999835
11,11,39.678,39.678,0.0
12,12,39.718,39.772,0.05399999999999494
13,13,39.918,39.918,0.0
14,14,39.694,39.694,0.0
15,15,39.648,39.648,0.0
16,16,39.882,39.882,0.0
17,17,39.882,39.882,0.0
18,18,39.672,50.492,10.82
19,19,39.812,39.812,0.0
20,20,39.554,39.554,0.0
21,21,40.216,40.216,0.0
22,22,39.788,39.788,0.0
23,23,40.516,45.56399999999999,5.047999999999995
24,24,40.634,40.634,0.0
25,25,39.93,48.122,8.192
26,26,39.394,39.86,0.4660000000000011
27,27,39.612,39.612,0.0
28,28,39.34,39.34,0.0
29,29,39.112,44.738,5.625999999999998
30,30,39.342,39.596,0.2539999999999978
31,31,38.574,38.802,0.22800000000000153
32,32,38.408,42.88800000000001,4.480000000000011
33,33,38.61,38.61,0.0
34,34,38.356,38.356,0.0
35,35,38.27,38.662,0.3919999999999959
36,36,38.802,38.944,0.142000000000003
37,37,38.708,38.708,0.0
38,38,38.662,38.958,0.2959999999999994
39,39,38.708,40.936,2.2280000000000015
40,40,38.486,38.486,0.0
41,41,38.662,43.662,5.0
42,42,38.454,38.454,0.0
43,43,38.428,38.428,0.0
44,44,39.038,39.132,0.0940000000000012
45,45,38.522,45.07,6.548000000000002
46,46,38.632,38.632,0.0
47,47,38.404,38.874,0.46999999999999886
48,48,38.732,39.32,0.588000000000001
49,49,38.31,43.978,5.667999999999999
50,50,37.276,37.276,0.0
51,51,38.63800000000001,38.84,0.20199999999999108
52,52,38.618,42.294,3.675999999999995
53,53,38.564,46.952,8.387999999999998
54,54,38.61,39.366,0.7560000000000002
55,55,38.838,38.882,0.04399999999999693
56,56,39.08,44.804,5.724000000000004
57,57,38.744,38.744,0.0
58,58,38.802,38.802,0.0
59,59,34.766,38.826,4.060000000000002
60,60,34.86,37.77,2.9100000000000037
61,61,36.496,36.666,0.1699999999999946
62,62,35.31,36.08,0.769999999999996
63,63,36.76,36.76,0.0
64,64,35.97400000000001,35.97400000000001,0.0
65,65,36.582,36.582,0.0
66,66,35.278,36.67,1.392000000000003
67,67,35.93,37.276,1.3460000000000036
68,68,36.572,39.456,2.8840000000000003
69,69,36.314,36.314,0.0
70,70,36.832,40.028,3.195999999999998
71,71,35.596,37.578,1.9820000000000064
72,72,36.496,36.924,0.42799999999999727
73,73,36.408,37.278,0.8699999999999974
74,74,35.61,35.61,0.0
75,75,35.376,39.342,3.966000000000001
76,76,36.534,36.534,0.0
77,77,36.712,36.842,0.12999999999999545
78,78,36.526,36.526,0.0
79,79,36.792,36.792,0.0
80,80,36.596,36.596,0.0
